 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
17001;FUENCARRAL;40.5024656;-3.6817503;CALLE ANTONIO CABEZON, S/N;28034;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion17001.pdf;
35002;FUENLABRADA;40.283135;-3.799565;PASEO DE ROMA, 1;28944;Fuenlabrada;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35002.pdf;
98003;FUENTE DE LA MORA;40.484729;-3.662833;CALLE DULCE CHACON, S/N;28050;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion98003.pdf;
10104;GALAPAGAR-LA NAVATA;40.600159;-3.981913;CARRETERA DE GALAPAGAR A LA NAVATA, S/N;28420;Galapagar;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10104.pdf;
37002;GETAFE-CENTRO;40.309974;-3.733989;PASEO ESTACION FERROCARRIL, S/N;28902;Getafe;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion37002.pdf;
60102;GETAFE-INDUSTRIAL;40.3055338;-3.7073714;AVENIDA DE LOS ANGELES, S/N;28903;Getafe;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion60102.pdf;
37011;GETAFE-SECTOR 3;40.288252;-3.737529;CAMINO VIEJO DE TOLEDO, S/N;28901;Getafe;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion37011.pdf;
70200;GUADALAJARA;40.534668;-3.2985719;CALLE FRANCISCO ARITIO, S/N;19004;Guadalajara;Guadalajara;https://data.renfe.com/files/estaciones/FichaEstacion70200.pdf;
35012;HUMANES;40.255565;-3.828334;CALLE ESTACION FERROCARRIL, 5;28970;Humanes de Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35012.pdf;
70111;LA GARENA;40.4807624;-3.3919677;CALLE FAUSTO ELHUYAR, S/N;28806;Alcalá de Henares;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70111.pdf;
35010;LA SERNA-FUENLABRADA;40.296725;-3.792477;CALLE DE BARCELONA, 28;28945;Fuenlabrada;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35010.pdf;
35608;LAGUNA;40.399006;-3.744225;CALLE ALHAMBRA, S/N;28047;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35608.pdf;
35602;LAS AGUILAS;40.381009;-3.780187;AVENIDA DE LAS AGUILAS, 144;28044;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35602.pdf;
37010;LAS MARGARITAS;40.323041;-3.727278;CALLE MADRID, 155;28903;Getafe;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion37010.pdf;
10101;LAS MATAS;40.552415;-3.896791;PLAZA DEL FERROCARRIL, S/N;28290;Rozas de Madrid, Las;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10101.pdf;
35610;LAS RETAMAS;40.341869;-3.842311;AVENIDA DE MOSTOLES, S/N;28922;Alcorcón;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35610.pdf;
10005;LAS ROZAS;40.494215;-3.868181;CALLE SAN SEBASTIAN, S/N;28230;Rozas de Madrid, Las;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10005.pdf;
10202;LAS ZORRERAS-NAVALQUEJIGO;40.609265;-4.046336;CALLE ESTACION FERROCARRIL, S/N;28292;Escorial, El;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10202.pdf;
35001;LEGANES;40.328633;-3.771162;CALLE VIRGEN DEL CAMINO, 2;28911;Leganés;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35001.pdf;
12023;LOS COTOS;40.822239;-3.964546;CARRETERA C-604 - ESTACION FERROCARRIL, S/N;40100;Real Sitio de San Ildefonso;Segovia;https://data.renfe.com/files/estaciones/FichaEstacion12023.pdf;
12005;LOS MOLINOS-GUADARRAMA;40.706598;-4.067179;PASEO PEDRO GUTIERREZ, S/N;28460;Molinos, Los;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion12005.pdf;
12001;LOS NEGRALES;40.63856;-4.021915;CALLE PARALELA, 11;28409;Alpedrete;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion12001.pdf;
18000;MADRID-ATOCHA CERCANIAS;40.406556;-3.689508;PLAZA DEL EMPERADOR CARLOS V, S/N;28045;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion18000.pdf;
17000;MADRID-CHAMARTIN;40.4732797;-3.6818974;CALLE AGUSTIN DE FOXA, S/N;28036;Madrid;Madrid;;https://data.renfe.com/files/estaciones/FichaTunel17000.pdf
18002;MADRID-NUEVOS MINISTERIOS;40.446612;-3.692207;CALLE RAIMUNDO FERNANDEZ VILLAVERDE, 69;28046;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion18002.pdf;
10000;MADRID-PRINCIPE PIO;40.421389;-3.718968;PASEO DE LA FLORIDA, 2;28008;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10000.pdf;
18001;MADRID-RECOLETOS;40.423371;-3.690995;PASEO DE RECOLETOS, S/N;28001;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion18001.pdf;
10007;MAJADAHONDA;40.474347;-3.845334;CARRETERA DEL PLANTIO, S/N;28221;Majadahonda;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10007.pdf;
70104;MECO;40.534668;-3.2985719;CARRETERA ESTACION FERROCARRIL, S/N;28880;Meco;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70104.pdf;
18003;MENDEZ ALVARO;40.395419;-3.678137;CALLE DEL OMBU, S/N;28045;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion18003.pdf;
35701;MENDEZ ALVARO;40.395735;-3.677847;CALLE PEDRO BOSCH, S/N;28045;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35701.pdf;
97200;Mirasierra;40.499759;-3.709755;CALLE DEL MONASTERIO DE LA HUELGAS, S/N;28034;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion97200.pdf;
35606;MOSTOLES;40.328724;-3.863478;PASEO DE GOYA, S/N;28932;Móstoles;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35606.pdf;
35607;MOSTOLES-EL SOTO;40.330971;-3.882441;CALLE GRANADA, 10;28935;Móstoles;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35607.pdf;
35703;ORCASITAS;40.367081;-3.704244;CALLE CAMPOTEJAR, 25;28041;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35703.pdf;
37012;PARLA;40.241032;-3.769312;CALLE REAL, S/N;28981;Parla;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion37012.pdf;
35011;PARQUE POLVORANCA;40.312544;-3.783546;CALLE ARGANDA DEL REY, 6;28914;Leganés;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35011.pdf;
10100;PINAR DE LAS ROZAS;40.522282;-3.882258;AVENIDA DE LOS BOMBEROS, S/N;28230;Rozas de Madrid, Las;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10100.pdf;
60103;PINTO;40.2429829;-3.7036534;CALLE CRISTO, S/N;28320;Pinto;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion60103.pdf;
18005;PIRAMIDES;40.402516;-3.711374;PASEO DE LAS ACACIAS - DOCTOR VALLEJO NAJERA, S/N;28005;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion18005.pdf;
97100;PITIS;40.4956316;-3.7256015;CALLE GLORIA FUERTES, S/N;28035;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion97100.pdf;
10002;POZUELO;40.447225;-3.800145;CALLE ANTONIO DIAZ, 1;28224;Pozuelo de Alarcón;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10002.pdf;
35704;PUENTE ALCOCER;40.350418;-3.705122;CALLE ALCOCER, 54;28041;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35704.pdf;
12020;PUERTO DE NAVACERRADA;40.784445;-4.004772;CALLE VITORIA, 1;28470;Cercedilla;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion12020.pdf;
97201;RAMON Y CAJAL;40.4880223;-3.6935145;CARRETERA M-607 A COLMENAR, KM. 6.100;28034;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion97201.pdf;
60107;SAN CRISTOBAL DE LOS ANGELES;40.3419854;-3.683232;CARRETERA DE ANDALUCIA, KM 10.700;28021;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion60107.pdf;
60101;SAN CRISTOBAL INDUSTRIAL;40.3320318;-3.6963666;CALLE TRANSVERSAL SEXTA, S/N (POLIGONO INDUSTRIAL DE VILLAVERDE);28021;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion60101.pdf;
70101;SAN FERNANDO DE HENARES;40.4424319;-3.5342411;AVENIDA DE SAN PABLO, S/N;28830;San Fernando de Henares;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70101.pdf;
35604;SAN JOSE DE VALDERAS;40.356574;-3.815577;AVENIDA DE LISBOA, S/N;28924;Alcorcón;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35604.pdf;
10201;SAN YAGO;40.617864;-4.031106;AVENIDA SALTOS DEL SIL, 1;28292;Galapagar;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10201.pdf;
70109;SANTA EUGENIA;40.3877971;-3.6087501;AVENIDA SANTA EUGENIA, 9;28031;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70109.pdf;
18101;SOL;40.416856;-3.702904;PUERTA DEL SOL, S/N;28013;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion18101.pdf;
70112;SOTO DEL HENARES;40.464383;-3.440614;AVENIDA JORGE OTEIZA, S/N;28850;Torrejón de Ardoz;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70112.pdf;
70102;TORREJON DE ARDOZ;40.4547456;-3.4797065;PLAZA ESTACION FERROCARRIL, S/N;28850;Torrejón de Ardoz;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70102.pdf;
10103;TORRELODONES;40.574559;-3.956577;PLAZA SALVADOR SANCHEZ FRASCUELO, 1;28250;Torrelodones;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10103.pdf;
17004;TRES CANTOS;40.598596;-3.7156;PLAZA ESTACION FERROCARRIL, 1;28760;Tres Cantos;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion17004.pdf;
19001;UNIVERSIDAD PONTIFICIA DE COMILLAS;40.55412;-3.683267;CARRETERA M-616 - ESTACION FERROCARRIL, S/N;28049;Alcobendas;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion19001.pdf;
17009;UNIVERSIDAD-CANTOBLANCO;40.543818;-3.700217;CARRETERA M-607 DE COLMENAR VIEJO KM 15.600 - ESTACION FERROCARRIL, S/N;28049;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion17009.pdf;
98304;VALDEBEBAS;40.48207;-3.616414;AVENIDA DE LAS FUERZAS ARMADAS, S/N;28055;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion98304.pdf;
19002;VALDELASFUENTES;40.547425;-3.654149;CALLE MARQUES DE LA VALDAVIA, S/N;28100;Alcobendas;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion19002.pdf;
60104;VALDEMORO;40.1958184;-3.6646737;PLAZA ESTACION FERROCARRIL, S/N;28340;Valdemoro;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion60104.pdf;
70001;VALLECAS;40.382264;-3.624931;Avenida de la Democracia, 1 ;28031;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70001.pdf;
70100;VICALVARO;40.401043;-3.5952733;CALLE SAN CIPRIANO, 85;28052;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70100.pdf;
10200;VILLALBA DE GUADARRAMA;40.626522;-4.00812;PLAZA ESTACION FERROCARRIL, S/N;28400;Collado Villalba;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10200.pdf;
37001;VILLAVERDE ALTO;40.341622;-3.712565;CALLE DOMINGO PARRAGA, 42;28021;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion37001.pdf;
60100;VILLAVERDE BAJO;40.3555397;-3.6832514;CALLE ESTACION FERROCARRIL, S/N;28021;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion60100.pdf;
35009;ZARZAQUEMADA;40.3409732;-3.7482259;CALLE DEL RONCAL, 7;28915;Leganés;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35009.pdf;
