age,job,marital,education,default,housing,loan
33,services,married,high.school,unknown,yes,no
55,management,married,unknown,unknown,yes,no
42,blue-collar,married,basic.9y,unknown,no,no
50,blue-collar,married,basic.4y,unknown,yes,no
51,blue-collar,married,basic.4y,unknown,unknown,unknown
38,admin.,married,high.school,unknown,no,no
49,entrepreneur,married,university.degree,unknown,yes,no
38,technician,single,university.degree,no,no,yes
31,admin.,divorced,high.school,no,no,no
41,management,married,basic.6y,no,no,no
39,admin.,married,university.degree,no,yes,yes
49,technician,married,basic.9y,no,no,no
34,admin.,married,high.school,no,yes,no
35,admin.,married,university.degree,no,yes,no
57,unknown,married,unknown,unknown,yes,no
60,admin.,married,unknown,unknown,no,yes
33,unemployed,married,basic.9y,no,no,no
42,blue-collar,married,basic.6y,no,no,yes
45,services,married,professional.course,no,yes,no
42,management,married,university.degree,no,no,no
53,admin.,divorced,university.degree,unknown,no,no
37,technician,single,professional.course,no,no,no
44,blue-collar,married,basic.6y,no,no,no
54,services,married,unknown,no,yes,no
49,blue-collar,married,basic.4y,no,no,no
54,services,married,unknown,no,no,no
52,admin.,divorced,university.degree,no,no,no
52,admin.,divorced,university.degree,no,no,no
43,services,single,high.school,unknown,no,no
34,housemaid,married,basic.6y,no,yes,no
35,admin.,married,high.school,no,yes,no
42,entrepreneur,married,unknown,unknown,yes,no
43,technician,married,unknown,unknown,yes,yes
60,retired,divorced,university.degree,unknown,no,no
58,unemployed,married,basic.4y,unknown,no,no
35,services,divorced,high.school,no,yes,no
55,blue-collar,married,basic.9y,unknown,yes,no
37,management,married,university.degree,no,no,no
36,blue-collar,married,high.school,no,no,no
52,admin.,divorced,university.degree,no,no,no
57,blue-collar,divorced,unknown,unknown,yes,no
56,admin.,married,unknown,no,yes,no
48,blue-collar,divorced,basic.4y,unknown,yes,no
40,blue-collar,married,high.school,unknown,yes,no
49,blue-collar,divorced,high.school,no,no,no
41,services,married,high.school,no,no,no
45,technician,married,high.school,no,yes,no
32,admin.,married,university.degree,no,yes,yes
42,admin.,married,university.degree,no,no,yes
50,admin.,married,basic.6y,no,no,no
31,technician,divorced,professional.course,no,yes,yes
56,retired,married,basic.4y,no,yes,no
41,technician,married,professional.course,unknown,yes,no
37,blue-collar,married,basic.6y,no,yes,yes
41,technician,married,professional.course,unknown,no,no
35,blue-collar,married,unknown,no,yes,no
37,blue-collar,married,basic.6y,no,yes,no
52,management,married,university.degree,no,no,no
39,management,divorced,university.degree,no,no,no
39,housemaid,married,basic.4y,unknown,no,no
56,blue-collar,married,basic.4y,unknown,no,no
34,services,married,high.school,no,yes,no
45,blue-collar,married,basic.9y,unknown,yes,no
43,unemployed,single,university.degree,no,yes,no
56,management,married,unknown,no,yes,no
39,management,married,university.degree,no,yes,no
53,blue-collar,married,basic.4y,no,yes,no
38,unknown,divorced,high.school,unknown,yes,no
42,blue-collar,married,basic.4y,unknown,yes,no
42,blue-collar,married,basic.4y,unknown,no,no
35,admin.,single,high.school,no,yes,no
40,admin.,married,university.degree,unknown,yes,no
51,blue-collar,married,basic.4y,no,yes,no
60,blue-collar,married,basic.9y,unknown,no,no
56,entrepreneur,married,unknown,unknown,yes,no
39,services,divorced,high.school,unknown,yes,no
56,entrepreneur,married,unknown,unknown,no,no
40,blue-collar,married,unknown,no,yes,yes
36,blue-collar,married,basic.9y,no,yes,yes
51,blue-collar,married,unknown,unknown,yes,no
51,blue-collar,married,unknown,unknown,no,no
43,technician,single,professional.course,no,yes,no
59,services,married,high.school,no,no,no
24,management,single,university.degree,no,yes,no
37,blue-collar,single,basic.9y,unknown,yes,yes
40,blue-collar,married,basic.9y,unknown,no,no
42,blue-collar,married,basic.9y,unknown,no,no
39,services,divorced,high.school,unknown,no,no
37,entrepreneur,married,basic.6y,no,no,no
38,services,married,high.school,no,yes,yes
56,admin.,divorced,unknown,unknown,no,no
40,blue-collar,married,unknown,no,no,no
54,management,divorced,university.degree,no,yes,no
43,blue-collar,married,high.school,unknown,no,yes
36,services,married,high.school,unknown,no,no
45,technician,married,university.degree,no,yes,yes
42,admin.,single,university.degree,unknown,no,no
43,services,married,high.school,no,no,no
46,management,married,basic.9y,no,no,no
44,services,married,high.school,no,yes,yes
51,admin.,single,basic.6y,no,no,no
28,services,married,high.school,no,yes,no
37,blue-collar,married,basic.9y,no,no,no
34,technician,married,high.school,no,no,no
46,blue-collar,married,basic.6y,unknown,yes,no
42,blue-collar,married,basic.9y,no,yes,yes
36,admin.,married,university.degree,no,yes,no
54,blue-collar,married,basic.4y,unknown,no,no
57,management,married,university.degree,no,no,no
51,technician,married,basic.6y,unknown,no,no
54,retired,married,high.school,unknown,no,no
49,blue-collar,married,basic.4y,unknown,no,no
34,admin.,married,university.degree,no,yes,no
41,technician,married,professional.course,no,no,no
38,blue-collar,single,basic.9y,no,yes,no
45,management,divorced,university.degree,no,no,no
42,technician,married,university.degree,no,no,no
34,blue-collar,single,basic.9y,unknown,yes,no
48,blue-collar,married,basic.4y,no,yes,no
37,admin.,married,high.school,unknown,yes,no
34,blue-collar,single,basic.9y,unknown,no,no
40,admin.,married,basic.9y,unknown,yes,no
43,blue-collar,married,basic.6y,no,yes,no
33,services,married,high.school,no,no,no
32,services,single,basic.6y,no,no,no
39,blue-collar,married,high.school,no,yes,no
43,admin.,married,unknown,no,no,no
44,blue-collar,married,basic.9y,no,yes,no
35,student,single,university.degree,unknown,no,no
35,student,single,university.degree,unknown,yes,yes
35,unemployed,married,professional.course,no,no,no
36,services,single,basic.4y,no,no,no
35,student,single,university.degree,unknown,yes,no
36,student,single,basic.9y,no,yes,no
55,housemaid,divorced,university.degree,no,no,no
59,admin.,married,university.degree,no,no,no
57,retired,married,unknown,unknown,no,no
39,blue-collar,married,professional.course,unknown,yes,no
39,housemaid,married,basic.4y,unknown,yes,no
30,blue-collar,single,unknown,no,yes,no
30,blue-collar,single,unknown,no,yes,yes
50,housemaid,married,basic.4y,unknown,no,no
40,services,married,high.school,no,no,no
35,admin.,married,high.school,no,yes,no
43,technician,married,unknown,unknown,no,no
36,services,single,basic.6y,unknown,yes,no
46,technician,married,basic.4y,unknown,yes,no
40,technician,married,basic.9y,no,no,no
58,retired,married,university.degree,no,no,no
42,technician,married,university.degree,no,no,no
35,admin.,single,university.degree,no,no,no
43,retired,married,basic.4y,unknown,no,no
45,blue-collar,married,basic.4y,no,yes,yes
39,admin.,married,professional.course,no,yes,no
50,services,divorced,professional.course,no,yes,no
32,management,divorced,basic.4y,unknown,yes,no
39,admin.,married,high.school,unknown,no,no
52,self-employed,married,university.degree,unknown,no,no
44,admin.,married,professional.course,no,yes,no
56,blue-collar,married,basic.4y,no,no,no
48,admin.,married,high.school,no,no,no
33,services,married,high.school,unknown,no,yes
43,management,married,university.degree,unknown,no,yes
57,retired,married,high.school,no,no,no
36,technician,single,professional.course,no,no,no
34,management,married,university.degree,no,yes,no
34,services,single,basic.9y,no,no,no
30,technician,married,university.degree,unknown,no,no
33,services,divorced,unknown,no,no,no
32,technician,single,professional.course,no,no,no
36,technician,single,high.school,no,yes,no
36,blue-collar,single,high.school,no,no,yes
33,services,single,high.school,no,no,no
40,technician,divorced,professional.course,no,no,no
41,blue-collar,married,basic.4y,no,yes,no
51,services,married,basic.6y,no,yes,no
36,technician,married,professional.course,no,yes,no
28,services,married,unknown,no,no,no
53,services,married,high.school,no,yes,yes
58,blue-collar,married,basic.9y,unknown,yes,no
45,management,married,basic.9y,no,no,yes
43,technician,married,unknown,no,yes,no
33,admin.,married,high.school,no,no,yes
33,admin.,married,high.school,no,no,yes
27,blue-collar,single,basic.6y,no,unknown,unknown
42,technician,married,high.school,no,no,no
43,admin.,divorced,basic.9y,no,no,no
42,admin.,married,university.degree,no,no,no
27,blue-collar,single,basic.6y,no,no,no
34,self-employed,single,university.degree,no,yes,no
31,student,single,university.degree,unknown,no,no
54,management,divorced,university.degree,no,no,no
40,self-employed,married,basic.4y,unknown,no,no
52,unemployed,married,high.school,unknown,yes,no
47,management,divorced,university.degree,no,no,no
49,housemaid,married,basic.9y,unknown,no,no
32,admin.,single,high.school,no,no,no
49,housemaid,single,high.school,unknown,yes,yes
50,blue-collar,married,basic.9y,unknown,no,no
34,services,married,high.school,no,no,no
55,blue-collar,married,basic.4y,unknown,no,no
47,technician,single,basic.9y,no,no,no
51,retired,married,professional.course,no,no,no
47,blue-collar,married,basic.6y,no,no,no
56,technician,married,basic.4y,no,yes,no
53,admin.,married,basic.9y,no,no,no
36,blue-collar,married,basic.9y,no,yes,no
42,blue-collar,divorced,basic.9y,no,yes,no
44,blue-collar,divorced,basic.6y,no,no,no
39,housemaid,married,basic.9y,no,yes,no
37,admin.,single,high.school,no,yes,yes
60,blue-collar,married,unknown,unknown,yes,no
36,services,married,high.school,no,no,no
42,management,divorced,university.degree,no,yes,no
31,admin.,married,high.school,no,yes,yes
53,technician,divorced,professional.course,unknown,no,yes
45,blue-collar,married,basic.4y,no,yes,no
37,technician,single,professional.course,no,yes,no
47,self-employed,married,professional.course,no,no,no
49,blue-collar,divorced,high.school,no,no,yes
36,admin.,married,university.degree,no,yes,no
35,services,divorced,high.school,no,no,no
38,unknown,married,unknown,unknown,no,no
38,services,single,high.school,unknown,no,no
50,blue-collar,divorced,high.school,unknown,no,yes
59,retired,married,professional.course,unknown,no,no
43,unknown,married,unknown,no,yes,no
42,admin.,married,high.school,no,yes,no
40,admin.,married,basic.6y,unknown,yes,no
46,blue-collar,married,unknown,unknown,no,no
57,housemaid,divorced,basic.4y,no,yes,yes
42,admin.,married,university.degree,no,yes,no
41,blue-collar,married,basic.4y,no,yes,no
54,management,divorced,university.degree,no,yes,no
27,admin.,single,university.degree,no,no,no
36,admin.,married,high.school,no,no,no
58,blue-collar,married,professional.course,unknown,yes,no
40,management,married,university.degree,unknown,yes,no
34,admin.,single,basic.9y,unknown,no,no
33,admin.,divorced,high.school,no,no,no
56,retired,married,basic.6y,no,no,no
42,blue-collar,married,basic.9y,no,no,no
43,services,married,high.school,no,yes,no
54,management,single,basic.9y,no,yes,no
53,admin.,single,basic.6y,no,yes,yes
42,technician,single,unknown,no,no,no
40,services,married,basic.6y,unknown,no,no
54,technician,married,professional.course,no,yes,yes
40,housemaid,single,professional.course,no,no,no
26,admin.,single,university.degree,no,yes,no
33,admin.,married,high.school,no,no,no
35,blue-collar,married,basic.9y,unknown,no,no
36,admin.,married,high.school,no,no,no
29,services,single,high.school,no,yes,no
36,blue-collar,married,basic.9y,no,yes,no
35,management,married,high.school,no,yes,no
50,self-employed,single,university.degree,no,no,yes
46,services,married,high.school,unknown,yes,no
49,entrepreneur,married,high.school,no,yes,no
42,technician,single,professional.course,unknown,yes,no
36,blue-collar,single,high.school,no,yes,yes
55,blue-collar,married,basic.9y,unknown,yes,no
41,management,married,university.degree,unknown,no,no
57,management,married,professional.course,unknown,yes,no
32,services,single,high.school,no,yes,no
49,admin.,married,basic.9y,no,no,no
57,unknown,married,unknown,unknown,yes,no
58,blue-collar,divorced,basic.4y,no,yes,no
52,technician,married,high.school,no,yes,no
50,services,divorced,professional.course,no,no,no
41,blue-collar,single,basic.9y,unknown,yes,no
33,entrepreneur,married,university.degree,no,yes,no
57,blue-collar,married,basic.4y,no,no,no
48,blue-collar,married,basic.6y,unknown,no,no
55,technician,married,professional.course,no,no,no
38,management,married,university.degree,no,no,no
38,services,married,high.school,no,yes,no
53,admin.,married,university.degree,no,yes,no
43,unemployed,single,university.degree,no,no,no
36,blue-collar,single,high.school,no,no,no
32,blue-collar,married,basic.9y,no,no,no
33,services,married,basic.4y,no,no,no
58,entrepreneur,married,basic.4y,no,yes,no
40,unemployed,divorced,high.school,unknown,no,no
57,management,married,university.degree,no,yes,no
45,technician,married,high.school,no,yes,no
42,blue-collar,married,basic.4y,unknown,yes,no
46,admin.,married,university.degree,no,yes,no
36,technician,married,university.degree,no,no,no
41,self-employed,married,high.school,no,yes,no
57,admin.,divorced,basic.9y,no,no,no
49,blue-collar,married,basic.9y,unknown,yes,no
56,management,divorced,high.school,no,no,no
37,blue-collar,married,basic.9y,no,no,no
37,blue-collar,married,basic.9y,no,no,yes
46,admin.,single,high.school,no,yes,no
22,blue-collar,single,basic.9y,no,yes,no
43,services,married,high.school,no,no,no
49,blue-collar,married,unknown,no,no,no
41,technician,married,basic.6y,no,yes,no
38,admin.,single,university.degree,no,no,no
33,admin.,married,basic.9y,no,no,no
49,admin.,married,university.degree,no,yes,yes
30,blue-collar,single,unknown,no,no,no
33,admin.,married,basic.9y,no,yes,no
34,management,single,university.degree,no,no,no
30,student,single,unknown,unknown,no,no
59,management,married,basic.4y,unknown,yes,yes
59,management,married,basic.4y,unknown,unknown,unknown
41,self-employed,married,university.degree,no,no,no
48,housemaid,married,basic.6y,unknown,yes,yes
28,unknown,single,unknown,unknown,yes,yes
44,services,married,high.school,no,yes,no
59,retired,unknown,university.degree,unknown,no,no
50,management,married,high.school,unknown,no,no
35,admin.,married,university.degree,no,no,no
42,admin.,married,high.school,no,no,no
45,admin.,married,basic.9y,no,no,no
36,technician,married,professional.course,no,no,no
56,services,married,high.school,unknown,no,no
29,blue-collar,divorced,basic.4y,no,no,no
41,self-employed,married,university.degree,no,yes,yes
42,blue-collar,married,basic.9y,unknown,no,no
52,services,single,high.school,no,no,no
48,services,married,high.school,unknown,unknown,unknown
31,blue-collar,married,high.school,unknown,yes,no
43,unemployed,married,university.degree,unknown,yes,no
36,blue-collar,married,basic.4y,unknown,no,no
42,entrepreneur,married,university.degree,no,yes,no
52,services,divorced,basic.6y,no,no,no
39,admin.,married,high.school,no,yes,no
36,services,married,high.school,no,no,yes
42,blue-collar,married,basic.9y,unknown,yes,no
41,admin.,married,high.school,no,no,no
55,technician,married,basic.4y,no,no,yes
30,blue-collar,married,basic.9y,no,no,no
57,retired,unknown,basic.4y,no,no,no
45,entrepreneur,married,basic.4y,unknown,yes,no
51,blue-collar,married,basic.4y,unknown,yes,yes
39,self-employed,single,basic.9y,unknown,yes,yes
47,admin.,married,high.school,unknown,no,no
27,services,married,high.school,no,yes,no
34,technician,single,university.degree,no,yes,no
57,blue-collar,married,basic.4y,unknown,yes,no
43,entrepreneur,married,basic.4y,no,no,no
49,blue-collar,married,basic.4y,unknown,no,no
39,management,married,university.degree,unknown,no,no
38,blue-collar,married,basic.4y,unknown,yes,no
49,blue-collar,married,basic.9y,no,no,no
58,management,married,basic.6y,no,no,no
43,technician,married,professional.course,no,yes,no
50,unknown,married,unknown,unknown,yes,no
31,services,married,high.school,unknown,no,no
43,self-employed,divorced,university.degree,no,no,no
43,self-employed,married,basic.9y,unknown,no,no
30,self-employed,single,university.degree,no,yes,no
27,services,single,professional.course,no,yes,yes
51,services,married,unknown,unknown,no,no
37,technician,married,professional.course,no,yes,no
46,housemaid,married,basic.9y,no,yes,no
35,blue-collar,married,professional.course,no,no,no
47,admin.,divorced,university.degree,no,no,no
46,management,married,unknown,no,yes,no
40,technician,married,professional.course,unknown,no,yes
26,housemaid,married,university.degree,no,no,no
32,blue-collar,divorced,basic.9y,unknown,no,no
45,management,married,university.degree,no,yes,no
34,admin.,married,basic.9y,no,no,no
47,blue-collar,married,unknown,unknown,no,no
42,technician,married,professional.course,no,no,no
57,technician,married,basic.4y,unknown,no,yes
57,technician,married,basic.4y,unknown,no,no
38,blue-collar,married,basic.4y,no,no,yes
57,technician,married,basic.4y,unknown,no,no
28,student,single,basic.9y,unknown,yes,no
60,management,married,university.degree,no,no,no
48,admin.,married,university.degree,no,yes,no
47,technician,married,professional.course,no,yes,no
40,admin.,married,high.school,no,no,no
51,management,married,professional.course,unknown,yes,no
48,unemployed,single,basic.4y,no,yes,no
54,housemaid,married,basic.4y,no,no,no
40,blue-collar,married,basic.6y,no,no,yes
44,admin.,single,basic.9y,unknown,no,no
42,technician,divorced,high.school,no,no,no
52,self-employed,married,university.degree,no,yes,no
31,blue-collar,single,basic.9y,no,yes,no
32,services,married,high.school,no,no,no
44,admin.,married,high.school,no,yes,yes
39,management,married,basic.6y,unknown,no,no
57,management,married,professional.course,unknown,yes,no
52,admin.,married,basic.4y,no,yes,no
42,management,married,university.degree,no,no,no
42,technician,single,professional.course,unknown,unknown,unknown
43,management,married,professional.course,no,yes,no
31,admin.,divorced,high.school,no,no,no
29,admin.,married,university.degree,unknown,yes,no
57,blue-collar,divorced,basic.4y,no,no,no
44,blue-collar,married,basic.9y,unknown,no,no
59,unknown,married,unknown,unknown,no,no
39,blue-collar,married,basic.4y,unknown,no,no
57,retired,married,university.degree,no,no,no
41,management,married,unknown,unknown,no,no
37,technician,single,high.school,unknown,no,yes
38,services,married,high.school,no,yes,no
42,retired,married,basic.4y,no,no,no
49,unknown,married,unknown,unknown,yes,no
54,management,married,basic.6y,unknown,yes,yes
36,admin.,married,university.degree,no,unknown,unknown
32,admin.,single,university.degree,unknown,no,no
35,technician,married,professional.course,no,yes,no
45,housemaid,married,professional.course,unknown,no,no
56,technician,married,unknown,no,yes,no
34,technician,married,university.degree,no,yes,no
41,unemployed,married,basic.9y,unknown,no,no
41,services,married,basic.9y,no,no,no
36,blue-collar,married,basic.9y,unknown,no,no
32,admin.,single,university.degree,unknown,unknown,unknown
31,services,married,high.school,unknown,unknown,unknown
38,technician,married,professional.course,no,yes,no
35,admin.,divorced,university.degree,unknown,yes,no
53,admin.,married,professional.course,no,yes,no
51,admin.,married,basic.6y,unknown,yes,no
56,entrepreneur,married,university.degree,unknown,no,no
33,admin.,married,basic.9y,no,unknown,unknown
33,admin.,married,basic.9y,no,no,no
51,services,divorced,high.school,unknown,yes,no
39,services,married,high.school,unknown,yes,no
45,entrepreneur,married,university.degree,no,no,no
40,technician,single,university.degree,no,no,no
60,unknown,single,unknown,unknown,yes,no
33,technician,married,university.degree,no,yes,no
47,blue-collar,married,high.school,unknown,yes,no
48,blue-collar,married,basic.4y,no,no,no
43,entrepreneur,married,high.school,no,no,no
37,management,married,university.degree,no,yes,no
50,services,married,basic.9y,no,yes,yes
59,entrepreneur,married,high.school,no,yes,no
32,technician,married,unknown,unknown,yes,no
42,housemaid,single,basic.4y,unknown,yes,no
52,blue-collar,married,basic.4y,no,no,no
42,blue-collar,married,unknown,unknown,no,no
42,admin.,married,unknown,no,no,no
40,management,married,basic.9y,unknown,unknown,unknown
38,blue-collar,married,basic.9y,no,no,no
39,blue-collar,married,basic.6y,no,yes,no
39,blue-collar,married,basic.6y,no,no,no
38,admin.,married,high.school,no,no,no
47,admin.,single,unknown,unknown,yes,no
30,services,single,high.school,no,no,no
38,admin.,divorced,high.school,no,yes,yes
39,technician,divorced,university.degree,no,no,no
44,admin.,married,high.school,no,no,no
36,admin.,married,high.school,no,no,no
41,services,married,high.school,unknown,yes,yes
41,blue-collar,married,basic.6y,no,no,no
35,blue-collar,married,basic.9y,no,no,no
41,technician,married,high.school,no,no,no
36,services,married,high.school,unknown,no,no
35,admin.,single,high.school,no,yes,yes
33,blue-collar,single,basic.4y,unknown,no,no
38,admin.,single,basic.6y,unknown,no,no
33,self-employed,married,university.degree,no,no,no
55,self-employed,married,unknown,unknown,no,no
36,blue-collar,single,basic.9y,unknown,no,no
57,technician,married,professional.course,unknown,no,yes
32,entrepreneur,single,university.degree,no,yes,no
30,self-employed,single,high.school,no,yes,no
43,admin.,married,professional.course,no,yes,yes
46,admin.,married,university.degree,no,no,no
35,admin.,divorced,high.school,no,no,yes
34,admin.,single,university.degree,no,yes,yes
50,blue-collar,married,basic.4y,unknown,unknown,unknown
39,admin.,single,university.degree,no,no,no
39,blue-collar,married,basic.9y,unknown,no,no
42,entrepreneur,married,basic.6y,no,no,no
57,retired,married,university.degree,no,yes,no
45,blue-collar,married,basic.4y,unknown,no,no
40,technician,married,basic.4y,no,no,yes
42,blue-collar,married,high.school,no,no,yes
40,technician,married,basic.4y,no,no,no
38,blue-collar,single,basic.4y,unknown,no,no
39,blue-collar,married,basic.6y,unknown,yes,yes
41,blue-collar,married,basic.4y,no,no,no
39,blue-collar,married,basic.6y,unknown,yes,no
41,blue-collar,married,basic.4y,no,yes,yes
45,admin.,married,university.degree,unknown,no,no
35,admin.,divorced,university.degree,no,unknown,unknown
35,admin.,married,basic.6y,no,yes,no
49,blue-collar,married,high.school,unknown,no,no
36,technician,married,unknown,no,no,no
23,admin.,single,university.degree,no,no,no
43,unemployed,married,university.degree,unknown,unknown,unknown
49,entrepreneur,married,professional.course,no,unknown,unknown
36,technician,married,professional.course,no,unknown,unknown
51,blue-collar,married,basic.9y,unknown,yes,no
56,retired,married,basic.4y,unknown,yes,yes
45,housemaid,married,high.school,no,no,no
42,admin.,married,high.school,no,no,no
41,admin.,divorced,high.school,no,no,no
32,services,married,high.school,unknown,no,yes
46,management,married,university.degree,no,no,no
37,blue-collar,married,unknown,no,no,no
53,management,married,university.degree,unknown,no,no
30,blue-collar,married,basic.4y,no,no,no
45,unknown,married,unknown,unknown,no,no
24,technician,single,professional.course,no,no,yes
45,unknown,married,unknown,unknown,no,no
34,admin.,single,university.degree,no,no,yes
41,management,married,university.degree,unknown,no,no
59,blue-collar,married,basic.4y,no,yes,no
45,blue-collar,married,basic.4y,unknown,no,no
54,blue-collar,married,basic.6y,unknown,no,no
32,technician,married,professional.course,no,no,no
33,technician,married,professional.course,no,yes,no
32,admin.,married,university.degree,no,no,no
34,services,single,high.school,no,unknown,unknown
46,management,married,university.degree,no,no,no
57,technician,married,professional.course,no,yes,no
42,technician,married,basic.9y,no,no,no
48,admin.,married,professional.course,no,yes,no
58,admin.,divorced,university.degree,unknown,yes,no
34,services,married,high.school,no,no,no
32,admin.,single,university.degree,no,yes,yes
48,blue-collar,married,basic.9y,no,no,no
47,blue-collar,married,basic.9y,no,no,no
31,services,married,high.school,unknown,no,no
32,admin.,single,university.degree,no,yes,no
32,admin.,single,university.degree,no,no,no
36,services,married,high.school,no,no,no
53,blue-collar,married,basic.4y,unknown,no,yes
37,blue-collar,married,basic.9y,unknown,no,no
50,services,married,high.school,no,no,no
46,blue-collar,married,basic.6y,no,yes,no
41,admin.,married,high.school,no,no,no
43,blue-collar,single,basic.4y,no,no,no
51,management,married,university.degree,no,yes,no
38,admin.,married,university.degree,no,yes,no
41,technician,married,basic.6y,no,yes,no
39,services,married,high.school,unknown,no,no
52,blue-collar,married,basic.4y,no,no,no
37,technician,married,professional.course,no,yes,no
41,admin.,married,basic.9y,no,yes,no
46,admin.,divorced,university.degree,no,yes,yes
47,technician,married,professional.course,no,no,no
35,technician,married,professional.course,no,no,no
38,services,married,high.school,unknown,no,no
30,blue-collar,single,unknown,no,yes,yes
46,blue-collar,married,basic.9y,no,yes,no
30,technician,married,professional.course,no,no,no
35,services,single,basic.4y,no,no,no
58,admin.,married,unknown,unknown,yes,no
40,technician,married,professional.course,no,no,no
34,technician,married,university.degree,no,no,no
30,admin.,single,university.degree,no,no,no
38,services,married,basic.6y,no,no,no
55,management,single,basic.4y,no,no,no
55,management,married,university.degree,unknown,yes,no
45,technician,single,professional.course,no,yes,no
36,admin.,married,university.degree,no,yes,yes
32,admin.,single,university.degree,no,no,no
35,technician,married,unknown,unknown,yes,no
55,management,divorced,university.degree,no,yes,no
49,housemaid,married,basic.4y,unknown,unknown,unknown
29,admin.,married,high.school,no,yes,no
34,blue-collar,married,basic.4y,no,yes,no
54,retired,married,high.school,unknown,yes,no
36,technician,single,professional.course,no,no,no
30,management,single,university.degree,no,yes,no
33,housemaid,divorced,university.degree,no,no,no
37,blue-collar,married,high.school,no,no,no
36,technician,married,basic.9y,unknown,yes,no
33,blue-collar,married,high.school,no,no,no
32,housemaid,married,high.school,no,yes,no
32,housemaid,married,high.school,no,no,no
50,blue-collar,married,basic.4y,unknown,yes,no
39,blue-collar,married,basic.9y,no,no,yes
51,blue-collar,divorced,unknown,unknown,yes,yes
33,services,married,high.school,no,no,no
33,services,married,basic.4y,no,no,no
56,management,married,university.degree,unknown,no,yes
39,management,divorced,university.degree,unknown,yes,no
33,self-employed,single,university.degree,no,no,no
59,retired,divorced,basic.4y,unknown,no,no
42,admin.,single,unknown,no,yes,no
43,services,married,high.school,no,no,yes
35,admin.,married,university.degree,no,unknown,unknown
46,blue-collar,married,basic.6y,unknown,yes,no
27,technician,married,basic.9y,no,no,yes
47,admin.,divorced,university.degree,no,yes,no
31,admin.,single,university.degree,no,no,no
32,blue-collar,married,basic.9y,no,yes,no
54,admin.,married,high.school,no,no,no
56,management,married,university.degree,unknown,no,no
48,services,single,high.school,unknown,yes,no
44,admin.,married,high.school,no,yes,no
46,admin.,married,high.school,no,no,yes
45,services,married,high.school,no,yes,no
